Comment,Designator,Footprint,LCSC Part #
CL32B226KAJNNNE,"C1, C2, C4",1210,C309062
CL10C220JB8NNNC,"C3, C41",0603,C1653
CL31A226KAHNNNE,"C5, C6, C9",1206,C12891
CL10B104KB8NNNC,"C10, C11, C13, C14, C16, C18, C20, C25, C43, C45, C48, C51",0603,C1591
CL10B105KA8NNNC,C12,0603,C29936
CL21B105KBFNNNE,"C15, C42, C49, C52",0805,C28323
CL31B106KAHNNNE,"C17, C19, C40",1206,C14860
CL21B225KAFNNNE,"C21, C22, C23, C24, C47, C50",0805,C19110
CL10C120JB8NNNC,C26,0603,C38523
CL10C150JB8NNNC,C27,0603,C1644
GRM2165C2A102JA01D,"C28, C29",0805,C162289
CC0805FRNPO0BN331,"C30, C31",0805,C527075
CC0805FRNPO0BN680,"C32, C33",0805,C576904
CC0805GRNPO0BN101,"C36, C37",0805,C527192
CL21B475KAFNNNE,C44,0805,C98195
CL31B475KBHNNNE,C46,1206,C51205
CC0805JRNPO0BN330,"C53, C54",0805,C309485
B340A-13-F,"D1, D2",SMA(DO-214AC),C85098
KT-0603R,D3,0603,C2286
SS14-E3/61T,D4,SMA(DO-214AC),C47460
FH12-24S-0.5SH(55),DS1,"SMD,P=0.5mm,Surface Mount，Right Angle",C202112
USB4105-GF-A-120,J1,SMD,C5184243
B2B-PH-SM4-TB(LF)(SN),J2,"SMD,P=2mm",C160352
LSXND3030QKT2R2MNG,L1,1212,C6980123
0805HP-151XGRC,"L2, L3",0805,C20417049
LPS4018-103MRC,L4,"SMD,3.9x3.9mm",C6127589
IRLML6402TRPBF,"Q1, Q3",SOT-23,C2593
BSS138,"Q2, Q4, Q5",SOT-23,C52895
0603WAF5101T5E,"R1, R2",0603,C23186
0603WAF1002T5E,"R3, R5, R8, R9, R10, R11, R21, R35, R37",0603,C25804
0603WAF2201T5E,"R4, R19, R20",0603,C4190
RT0603BRD07220KL,R6,0603,C861231
RT0603BRD0748K7L,R7,0603,C861429
0603WAF220JT5E,"R12, R13",0603,C23345
0603WAF1000T5E,R14,0603,C22775
0603WAF4703T5E,"R15, R16",0603,C23178
0603WAF1003T5E,"R17, R18, R22, R23, R24, R33, R34, R36, R40",0603,C25803
0805W8F2201T5E,"R25, R26",0805,C17520
CRCW12062R70FKEAHP,"R27, R28",1206,C2079511
0603WAF0000T5E,R29,0603,C21189
CPF0805B1M8E,R30,0805,C2088132
RT0603BRD07200KL,R31,0603,C728585
0603WAF9103T5E,R32,0603,C23263
RC0805JR-070RL,"R41, R42",0805,C96345
B3U-1000P,"SW1, SW2","SMD,3x2.5mm",C231329
TP4054-42-SOT25R,U1,SOT-23-5,C32574
SY8089AAAC,U2,SOT-23-5,C78988
ESP32-C3-WROOM-02-N4,U3,"SMD,20x18mm",C2934560
USBLC6-2SC6,U4,SOT-23-6L,C7519
TLV803EA30DBZR,U5,SOT-23-3,C5218924
PN7160A1HN/C100E,U6,HVQFN-40(6x6),C3303788
AP3012KTR-E1,U7,SOT-23-5,C460356
"PCF8574T/3,518",U8,SOIC-16-300mil,C7605
MCP1700T-3002E/TT,U9,SOT-23,C62244
NX2016SA-27.12MHZ-EXS00A-CS06346,Y1,SMD2016-4P,C3008209
