References,MPN,LCSC,Package,Per_board,Boards,Placements,Minimum_placement,Loss_allowance,Planning_quantity,Available_order_quantity,Stock_status,Library,Assembly_mode,Preorder_MOQ,Observed_UTC,Source
"C1, C2, C4",CL32B226KAJNNNE,C309062,1210,3,5,15,5,2,17,151956,AVAILABLE,expand,smtWeld,38,2026-09-21T17:35:17.465640+00:00,https://jlcpcb.com/partdetail/C309062
"C3, C41",CL10C220JB8NNNC,C1653,0603,2,5,10,20,10,30,1387947,AVAILABLE,base,smtWeld,2051,2026-09-21T17:35:17.982173+00:00,https://jlcpcb.com/partdetail/C1653
"C5, C6, C9",CL31A226KAHNNNE,C12891,1206,3,5,15,5,4,19,676842,AVAILABLE,base,smtWeld,52,2026-09-21T17:35:17.457182+00:00,https://jlcpcb.com/partdetail/C12891
"C10, C11, C13, C14, C16, C18, C20, C25, C43, C45, C48, C51",CL10B104KB8NNNC,C1591,0603,12,5,60,20,10,70,779020,AVAILABLE,expand,smtWeld,1368,2026-09-21T17:35:19.030491+00:00,https://jlcpcb.com/partdetail/C1591
C12,CL10B105KA8NNNC,C29936,0603,1,5,5,20,10,30,119429,AVAILABLE,expand,smtWeld,636,2026-09-21T17:35:19.047729+00:00,https://jlcpcb.com/partdetail/C29936
"C15, C42, C49, C52",CL21B105KBFNNNE,C28323,0805,4,5,20,20,10,30,2184515,AVAILABLE,base,smtWeld,295,2026-09-21T17:35:19.561339+00:00,https://jlcpcb.com/partdetail/C28323
"C17, C19, C40",CL31B106KAHNNNE,C14860,1206,3,5,15,15,8,23,966090,AVAILABLE,expand,smtWeld,47,2026-09-21T17:35:20.605156+00:00,https://jlcpcb.com/partdetail/C14860
"C21, C22, C23, C24, C47, C50",CL21B225KAFNNNE,C19110,0805,6,5,30,20,10,40,42221,AVAILABLE,expand,smtWeld,298,2026-09-21T17:35:20.625156+00:00,https://jlcpcb.com/partdetail/C19110
C26,CL10C120JB8NNNC,C38523,0603,1,5,5,20,10,30,407903,AVAILABLE,base,smtWeld,1128,2026-09-21T17:35:21.127958+00:00,https://jlcpcb.com/partdetail/C38523
C27,CL10C150JB8NNNC,C1644,0603,1,5,5,20,10,30,1025057,AVAILABLE,base,smtWeld,1038,2026-09-21T17:35:22.228243+00:00,https://jlcpcb.com/partdetail/C1644
"C28, C29",GRM2165C2A102JA01D,C162289,0805,2,5,10,20,8,28,3463,AVAILABLE,expand,smtWeld,306,2026-09-21T17:35:22.176606+00:00,https://jlcpcb.com/partdetail/C162289
