scenario,la,ra,ca,z_real_ohm,z_imag_ohm,z_abs_ohm,coil_rms_A_at_3V3_fundamental,coil_peak_V_at_3V3_fundamental,extra_shunt,rin
nominal_assumed_coil,1.5590049325492093e-06,1.5,2e-12,18.837653164370273,-0.1402741342980615,18.838175431125553,0.2514387068108059,47.23477708382161,,
coil_L_minus_10pct,1.4031044392942883e-06,1.5,2e-12,6.815871082578099,-13.66514797360108,15.270637437734484,0.16625412185644378,28.1093731903888,,
coil_L_plus_10pct,1.7149054258041303e-06,1.5,2e-12,80.03379706612391,-38.06175584220032,88.6233938111872,0.11397316678186331,23.55158991947335,,
extra_1pF_each_match_node,1.5590049325492093e-06,1.5,2e-12,20.625192139245847,0.7863816827410673,20.640177977230703,0.24124197702090222,45.3192396364688,1e-12,
extra_3pF_each_match_node,1.5590049325492093e-06,1.5,2e-12,24.99679826636413,2.509430236934542,25.12244342581641,0.22000668112698793,41.33001904040215,3e-12,
rx_load_1k,1.5590049325492093e-06,1.5,2e-12,18.852588670070382,-0.10299154249191136,18.852869988961654,0.2510577365190008,47.16320875992585,,1000
rx_load_10k,1.5590049325492093e-06,1.5,2e-12,18.8117797767713,-0.20382025088186728,18.8128839114159,0.2520914890194194,47.35740745564956,,10000
coil_L0.9_R1_C1p,1.4031044392942883e-06,1.0,1e-12,6.10956579855324,-14.25857713954824,15.512376229685096,0.1559314892811762,26.36292386944406,,
coil_L0.9_R1_C5p,1.4031044392942883e-06,1.0,5e-12,8.071870053042954,-10.701629202286773,13.404475138417345,0.2270608136106035,38.38857033011733,,
coil_L0.9_R2.5_C1p,1.4031044392942883e-06,2.5,1e-12,6.977319600946179,-14.717203079167454,16.287389455870567,0.14660600631394674,24.790841261323823,,
coil_L0.9_R2.5_C5p,1.4031044392942883e-06,2.5,5e-12,9.340303841275242,-11.578084680205507,14.875930919083702,0.20038919158583368,33.88549189759096,,
coil_L1.1_R1_C1p,1.7149054258041303e-06,1.0,1e-12,83.57629582215458,-15.261846554210369,84.95834969911172,0.1252663713935911,25.884477271641483,,
coil_L1.1_R1_C5p,1.7149054258041303e-06,1.0,5e-12,45.08973941626499,-73.94466074740971,86.60772167466476,0.09237187377700899,19.08730683837989,,
coil_L1.1_R2.5_C1p,1.7149054258041303e-06,2.5,1e-12,68.97212525986446,-20.971755957831384,72.09000354291342,0.12027549181719333,24.856240113905724,,
coil_L1.1_R2.5_C5p,1.7149054258041303e-06,2.5,5e-12,43.753610544343026,-64.47564213124178,77.91974630285962,0.09027531832961141,18.656377578323323,,
