Manufacturer Part Number,Quantity,Reference,Supplier Part Number
CL32B226KAJNNNE,20,"C1, C2, C4",C309062
CL10C220JB8NNNC,100,"C3, C41",C1653
CL31A226KAHNNNE,20,"C5, C6, C9",C12891
CL10B105KA8NNNC,20,C12,C29936
CL21B105KBFNNNE,30,"C15, C42, C49, C52",C28323
CL31B106KAHNNNE,20,"C17, C19, C40",C14860
CL21B225KAFNNNE,40,"C21, C22, C23, C24, C47, C50",C19110
CL10C150JB8NNNC,50,C27,C1644
GRM2165C2A102JA01D,20,"C28, C29",C162289
CL21B475KAFNNNE,20,C44,C98195
CL31B475KBHNNNE,20,C46,C51205
B340A-13-F,20,"D1, D2",C85098
KT-0603R,100,D3,C2286
SS14-E3/61T,6,D4,C47460
USB4105-GF-A-120,6,J1,C5184243
B2B-PH-SM4-TB(LF)(SN),10,J2,C160352
LSXND3030QKT2R2MNG,10,L1,C6980123
LPS4018-103MRC,6,L4,C6127589
IRLML6402TRPBF,12,"Q1, Q3",C2593
BSS138,20,"Q2, Q4, Q5",C52895
0603WAF5101T5E,100,"R1, R2",C23186
0603WAF1002T5E,100,"R3, R5, R8, R9, R10, R11, R21, R35, R37",C25804
0603WAF2201T5E,100,"R4, R19, R20",C4190
RT0603BRD07220KL,20,R6,C861231
RT0603BRD0748K7L,20,R7,C861429
0603WAF220JT5E,100,"R12, R13",C23345
0603WAF1000T5E,100,R14,C22775
0603WAF4703T5E,100,"R15, R16",C23178
0603WAF1003T5E,100,"R17, R18, R22, R23, R24, R33, R34, R36, R40",C25803
0805W8F2201T5E,100,"R25, R26",C17520
0603WAF0000T5E,100,R29,C21189
RT0603BRD07200KL,20,R31,C728585
0603WAF9103T5E,100,R32,C23263
RC0805JR-070RL,100,"R41, R42",C96345
B3U-1000P,15,"SW1, SW2",C231329
TP4054-42-SOT25R,10,U1,C32574
SY8089AAAC,10,U2,C78988
ESP32-C3-WROOM-02-N4,6,U3,C2934560
USBLC6-2SC6,10,U4,C7519
TLV803EA30DBZR,6,U5,C5218924
PN7160A1HN/C100E,6,U6,C3303788
AP3012KTR-E1,10,U7,C460356
"PCF8574T/3,518",6,U8,C7605
MCP1700T-3002E/TT,6,U9,C62244
NX2016SA-27.12MHZ-EXS00A-CS06346,10,Y1,C3008209
