Manufacturer Part Number,Quantity,Reference,Supplier Part Number
CC0603KRX7R9BB104,100,"C10, C11, C13, C14, C16, C18, C20, C25, C43, C45, C48, C51",603-CC603KRX7R9BB104
CL10C120JB8NNNC,20,C26,187-CL10C120JB8NNNC
CC0805FRNPO0BN331,20,"C30, C31",
VJ0805A680FXBPW1BC,20,"C32, C33",77-VJ0805A680FXBPBC
C0805C101F1GACTU,20,"C36, C37",80-C0805C101F1G
CC0805JRNPO0BN330,20,"C53, C54",603-CC805JRNPO0BN330
FH12A-24S-0.5SH(55),6,DS1,798-FH12A-24S0.5SH55
0805HP-151XGRC,15,"L2, L3",994-0805HP-151XGRC
CRCW12062R70FKEAHP,20,"R27, R28",
CPF0805B1M8E,10,R30,279-CPF0805B1M8E
