References,Original_MPN,Original_LCSC,Package,Per_board,Boards,Required,Vendor,Order_MPN,Vendor_part_number,Order_quantity,Spares,MOQ,Multiple,Observed_stock,Currency,Unit_price,Line_price,Checked_on,Page_crawl_age,Source,Status,Notes
"C1, C2, C4",CL32B226KAJNNNE,C309062,1210,3,5,15,LCSC,CL32B226KAJNNNE,C309062,20,5,1,1,134622,USD,0.2815,5.63,2026-09-22,today,https://www.lcsc.com/product-detail/C309062.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
"C3, C41",CL10C220JB8NNNC,C1653,0603,2,5,10,LCSC,CL10C220JB8NNNC,C1653,100,90,100,100,542200,USD,0.0058,0.58,2026-09-22,today,https://www.lcsc.com/product-detail/C1653.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
"C5, C6, C9",CL31A226KAHNNNE,C12891,1206,3,5,15,LCSC,CL31A226KAHNNNE,C12891,20,5,20,20,77420,USD,0.1775,3.55,2026-09-22,today,https://www.lcsc.com/product-detail/C12891.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
"C10, C11, C13, C14, C16, C18, C20, C25, C43, C45, C48, C51",CL10B104KB8NNNC,C1591,0603,12,5,60,Mouser,CC0603KRX7R9BB104,603-CC603KRX7R9BB104,100,40,1,1,48398727,EUR,0.022,2.2,2026-09-22,2 weeks ago,https://www.mouser.fr/fr/ProductDetail/YAGEO/CC0603KRX7R9BB104?qs=sGAEpiMZZMt7gvpyg0xT8lc%252Bzo1hxTFgFLBhN1j2Qug%3D,CATALOGUE_ONLY_RECHECK_GERMANY_CART,PROPOSED SUBSTITUTE: 100 nF; 50 V; X7R; 10%; 0603. Check DC-bias behavior at actual rails; no bulk power capacitor substituted.
C12,CL10B105KA8NNNC,C29936,0603,1,5,5,LCSC,CL10B105KA8NNNC,C29936,20,15,10,10,205670,USD,0.0214,0.428,2026-09-22,today,https://www.lcsc.com/product-detail/C29936.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
"C15, C42, C49, C52",CL21B105KBFNNNE,C28323,0805,4,5,20,LCSC,CL21B105KBFNNNE,C28323,30,10,10,10,572660,USD,0.0403,1.209,2026-09-22,today,https://www.lcsc.com/product-detail/C28323.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
"C17, C19, C40",CL31B106KAHNNNE,C14860,1206,3,5,15,LCSC,CL31B106KAHNNNE,C14860,20,5,20,20,939520,USD,0.1958,3.916,2026-09-22,today,https://www.lcsc.com/product-detail/C14860.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
"C21, C22, C23, C24, C47, C50",CL21B225KAFNNNE,C19110,0805,6,5,30,LCSC,CL21B225KAFNNNE,C19110,40,10,10,10,860,USD,0.0379,1.516,2026-09-22,today,https://www.lcsc.com/product-detail/C19110.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
C26,CL10C120JB8NNNC,C38523,0603,1,5,5,Mouser,CL10C120JB8NNNC,187-CL10C120JB8NNNC,20,15,1,1,65486,EUR,0.015,0.3,2026-09-22,last month,https://eu.mouser.com/en/ProductDetail/Samsung-Electro-Mechanics/CL10C120JB8NNNC?qs=349EhDEZ59q%252BsXw6lhqGjQ%3D%3D,CATALOGUE_ONLY_RECHECK_GERMANY_CART,Exact MPN; LCSC public views disagree on stock; prefer Mouser.
C27,CL10C150JB8NNNC,C1644,0603,1,5,5,LCSC,CL10C150JB8NNNC,C1644,50,45,50,50,662450,USD,0.0115,0.575,2026-09-22,today,https://www.lcsc.com/product-detail/C1644.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
"C28, C29",GRM2165C2A102JA01D,C162289,0805,2,5,10,LCSC,GRM2165C2A102JA01D,C162289,20,10,20,20,5300,USD,0.0367,0.734,2026-09-22,yesterday,https://www.lcsc.com/product-detail/C162289.html,CATALOGUE_ONLY_RECHECK_CART,Exact MPN; buy cut tape. Public stock is not reserved.
"C30, C31",CC0805FRNPO0BN331,C527075,0805,2,5,10,Mouser,CC0805FRNPO0BN331,,20,10,1,1,6357,EUR,0.133,2.66,2026-09-22,last month,https://www.mouser.lu/fr/ProductDetail/YAGEO/CC0805FRNPO0BN331?qs=WS5Jv%252B%252Bx1qX8aTb6GCl%2FLA%3D%3D,CATALOGUE_ONLY_RECHECK_GERMANY_CART,Exact MPN; 330 pF 1% 100 V C0G 0805. Match importer by full manufacturer part number.
