Designator,Mid X,Mid Y,Layer,Rotation
C1,13.000000,62.750000,Top,0.000000
C2,13.000000,55.000000,Top,180.000000
C3,34.500000,61.200000,Top,90.000000
C4,26.500000,66.100000,Top,180.000000
C5,22.500000,65.250000,Top,90.000000
C6,21.000000,61.200000,Top,180.000000
C9,52.250000,65.500000,Top,0.000000
C10,53.750000,68.500000,Top,90.000000
C11,44.000000,66.500000,Top,180.000000
C12,54.250000,72.500000,Top,180.000000
C13,51.250000,39.250000,Top,0.000000
C14,14.250000,49.250000,Top,90.000000
C15,18.000000,90.000000,Top,180.000000
C16,20.500000,90.000000,Top,90.000000
C17,17.000000,86.000000,Top,90.000000
C18,20.200000,86.000000,Top,90.000000
C19,17.000000,81.000000,Top,90.000000
C20,20.300000,79.500000,Top,90.000000
C21,29.500000,96.200000,Top,270.000000
C22,35.300000,90.500000,Top,180.000000
C23,25.000000,95.900000,Top,270.000000
C24,33.000000,87.900000,Top,180.000000
C25,26.300000,79.500000,Top,0.000000
C26,32.000000,94.900000,Top,0.000000
C27,32.000000,89.900000,Top,0.000000
C28,24.000000,81.500000,Top,0.000000
C29,24.000000,77.500000,Top,0.000000
C30,31.500000,81.600000,Top,270.000000
C31,31.500000,77.400000,Top,270.000000
C32,37.000000,84.850000,Top,0.000000
C33,37.000000,74.150000,Top,0.000000
C36,40.000000,81.600000,Top,270.000000
C37,40.000000,77.400000,Top,270.000000
C40,4.500000,87.000000,Top,0.000000
C41,1.500000,75.000000,Top,90.000000
C42,4.500000,66.750000,Top,0.000000
C43,30.250000,57.250000,Top,0.000000
C44,27.250000,44.750000,Top,90.000000
C45,17.000000,49.000000,Top,0.000000
C46,18.000000,51.750000,Top,0.000000
C47,23.000000,45.500000,Top,90.000000
C48,34.500000,58.000000,Top,90.000000
C49,38.250000,41.000000,Top,90.000000
C50,29.500000,44.750000,Top,90.000000
C51,16.900000,18.500000,Top,0.000000
C52,16.900000,21.500000,Top,0.000000
C53,33.700000,81.600000,Top,270.000000
C54,33.700000,77.400000,Top,270.000000
D1,11.000000,40.750000,Top,0.000000
D2,18.250000,41.250000,Top,0.000000
D3,15.500000,66.000000,Top,90.000000
D4,4.500000,71.500000,Top,90.000000
DS1,30.000000,51.150000,Top,180.000000
J1,3.395000,48.110000,Top,270.000000
J2,6.750000,59.100000,Top,90.000000
L1,25.500000,60.500000,Top,180.000000
L2,28.000000,84.450000,Top,0.000000
L3,28.000000,74.550000,Top,0.000000
L4,4.500000,82.000000,Top,180.000000
Q1,17.500000,54.750000,Top,180.000000
Q2,41.500000,41.250000,Top,180.000000
Q3,4.500000,92.000000,Top,0.000000
Q4,4.500000,96.000000,Top,0.000000
Q5,32.750000,46.500000,Top,180.000000
R1,10.000000,51.250000,Top,0.000000
R2,10.000000,44.750000,Top,0.000000
R3,16.500000,58.500000,Top,90.000000
R4,18.250000,58.250000,Top,90.000000
R5,14.250000,44.750000,Top,90.000000
R6,32.500000,61.200000,Top,90.000000
R7,32.500000,64.500000,Top,90.000000
R8,55.500000,70.000000,Top,90.000000
R9,39.750000,58.000000,Top,90.000000
R10,41.500000,66.000000,Top,90.000000
R11,39.750000,66.000000,Top,90.000000
R12,46.400000,42.500000,Top,90.000000
R13,47.900000,42.500000,Top,90.000000
R14,57.500000,72.500000,Top,0.000000
R15,52.500000,42.500000,Top,0.000000
R16,53.750000,40.000000,Top,90.000000
R17,39.750000,44.750000,Top,90.000000
R18,48.000000,39.250000,Top,0.000000
R19,25.250000,45.250000,Top,90.000000
R20,21.000000,45.250000,Top,90.000000
R21,20.200000,93.200000,Top,180.000000
R22,20.000000,74.000000,Top,180.000000
R23,20.200000,95.200000,Top,180.000000
R24,20.200000,97.200000,Top,180.000000
R25,28.000000,81.500000,Top,0.000000
R26,28.000000,77.500000,Top,0.000000
R27,42.000000,84.850000,Top,0.000000
R28,42.000000,74.150000,Top,0.000000
R29,20.300000,83.000000,Top,90.000000
R30,7.750000,77.000000,Top,90.000000
R31,7.500000,73.500000,Top,90.000000
R32,19.250000,46.000000,Top,90.000000
R33,7.500000,92.000000,Top,90.000000
R34,7.500000,96.000000,Top,90.000000
R35,32.750000,58.000000,Top,90.000000
R36,37.250000,57.250000,Top,0.000000
R37,18.500000,10.500000,Top,0.000000
R40,33.000000,43.750000,Top,0.000000
R41,24.000000,84.850000,Top,0.000000
R42,24.000000,74.150000,Top,0.000000
SW1,56.500000,76.000000,Top,90.000000
SW2,56.500000,81.000000,Top,90.000000
U1,13.500000,58.500000,Top,180.000000
U2,29.500000,62.500000,Top,0.000000
U3,47.900000,53.860000,Top,270.000000
U4,11.000000,48.000000,Top,0.000000
U5,47.750000,65.750000,Top,180.000000
U6,25.937500,90.250000,Top,0.000000
U7,4.500000,77.000000,Top,0.000000
U8,10.150000,11.905000,Top,0.000000
U9,36.750000,44.750000,Top,0.000000
Y1,32.000000,92.400000,Top,270.000000
