Reference,Pad,Net,X_mm,Y_mm
C1,1,/Power + ESP32-C3/USB_5V,11.525,62.75
C1,2,GND,14.475,62.75
C2,1,/Power + ESP32-C3/VBAT,14.475,55.0
C2,2,GND,11.525,55.0
C3,1,/+3V3,34.5,60.425
C3,2,/Power + ESP32-C3/BUCK_FB,34.5,61.975
C4,1,/VSYS,27.975,66.1
C4,2,GND,25.025,66.1
C5,1,/+3V3,22.5,63.775
C5,2,GND,22.5,66.725
C6,1,/+3V3,22.475,61.2
C6,2,GND,19.525,61.2
C9,1,/+3V3,50.775,65.5
C9,2,GND,53.725,65.5
C10,1,/+3V3,53.75,67.725
C10,2,GND,53.75,69.275
C11,1,/+3V3,44.775,66.5
C11,2,GND,43.225,66.5
C12,1,/Power + ESP32-C3/ESP_EN,55.025,72.5
C12,2,GND,53.475,72.5
C13,1,/Power + ESP32-C3/VBAT_ADC,50.475,39.25
C13,2,GND,52.025,39.25
C14,1,/Power + ESP32-C3/VBUS,14.25,48.475
C14,2,GND,14.25,50.025
C15,1,/+3V3,18.95,90.0
C15,2,GND,17.05,90.0
C16,1,/+3V3,20.5,89.225
C16,2,GND,20.5,90.775
C17,1,/VSYS,17.0,84.525
C17,2,GND,17.0,87.475
C18,1,/VSYS,20.2,85.225
C18,2,GND,20.2,86.775
C19,1,/NFC {slash} PN7160 {slash} 0x28/NFC_VDDUP,17.0,79.525
C19,2,GND,17.0,82.475
C20,1,/NFC {slash} PN7160 {slash} 0x28/NFC_VDDUP,20.3,78.725
C20,2,GND,20.3,80.275
C21,1,/NFC {slash} PN7160 {slash} 0x28/NFC_VDD18,29.5,97.15
C21,2,GND,29.5,95.25
C22,1,/NFC {slash} PN7160 {slash} 0x28/NFC_VDD18,36.25,90.5
C22,2,GND,34.35,90.5
C23,1,/NFC {slash} PN7160 {slash} 0x28/NFC_TVDD,25.0,96.85
C23,2,GND,25.0,94.95
C24,1,/NFC {slash} PN7160 {slash} 0x28/NFC_TVDD,33.95,87.9
C24,2,GND,32.05,87.9
C25,1,/NFC {slash} PN7160 {slash} 0x28/NFC_VMID,25.525,79.5
C25,2,GND,27.075,79.5
C26,1,/NFC {slash} PN7160 {slash} 0x28/NFC_XTAL1,31.225,94.9
C26,2,GND,32.775,94.9
C27,1,/NFC {slash} PN7160 {slash} 0x28/NFC_XTAL2,31.225,89.9
C27,2,GND,32.775,89.9
C28,1,/NFC {slash} PN7160 {slash} 0x28/NFC_RXN,22.9625,81.5
C28,2,Net-(C28-Pad2),25.0375,81.5
C29,1,/NFC {slash} PN7160 {slash} 0x28/NFC_RXP,22.9625,77.5
C29,2,Net-(C29-Pad2),25.0375,77.5
C30,1,/NFC {slash} PN7160 {slash} 0x28/RF_EMC_P,31.5,82.6375
C30,2,GND,31.5,80.5625
C31,1,GND,31.5,78.4375
C31,2,/NFC {slash} PN7160 {slash} 0x28/RF_EMC_N,31.5,76.3625
C32,1,/NFC {slash} PN7160 {slash} 0x28/RF_EMC_P,35.9625,84.85
C32,2,/NFC {slash} PN7160 {slash} 0x28/RF_MATCH_P,38.0375,84.85
C33,1,/NFC {slash} PN7160 {slash} 0x28/RF_EMC_N,35.9625,74.15
C33,2,/NFC {slash} PN7160 {slash} 0x28/RF_MATCH_N,38.0375,74.15
C36,1,/NFC {slash} PN7160 {slash} 0x28/RF_MATCH_P,40.0,82.6375
C36,2,GND,40.0,80.5625
C37,1,GND,40.0,78.4375
C37,2,/NFC {slash} PN7160 {slash} 0x28/RF_MATCH_N,40.0,76.3625
C40,1,/OLED {slash} SSD1309 {slash} 0x3C/OLED_BOOST_IN,3.025,87.0
C40,2,GND,5.975,87.0
C41,1,/OLED {slash} SSD1309 {slash} 0x3C/OLED_12V5,1.5,74.225
C41,2,/OLED {slash} SSD1309 {slash} 0x3C/OLED_FB,1.5,75.775
C42,1,/OLED {slash} SSD1309 {slash} 0x3C/OLED_12V5,3.55,66.75
C42,2,GND,5.45,66.75
C43,1,/+3V0,29.475,57.25
C43,2,GND,31.025,57.25
C44,1,/+3V0,27.25,43.8
C44,2,GND,27.25,45.7
C45,1,/OLED {slash} SSD1309 {slash} 0x3C/OLED_12V5,16.225,49.0
C45,2,GND,17.775,49.0
