Reference,LCSC,Origin_X,Origin_Y,Placement_offset_local_X,Placement_offset_local_Y,KiCad_rotation_CCW,JLC_rotation_correction,Preview_status
C1,C309062,13.0,62.75,0,0,0.0,0,Requires JLCPCB catalogue preview verification
C2,C309062,13.0,55.0,0,0,180.0,0,Requires JLCPCB catalogue preview verification
C3,C1653,34.5,61.2,0,0,90.0,0,Requires JLCPCB catalogue preview verification
C4,C309062,26.5,66.1,0,0,180.0,0,Requires JLCPCB catalogue preview verification
C5,C12891,22.5,65.25,0,0,90.0,0,Requires JLCPCB catalogue preview verification
C6,C12891,21.0,61.2,0,0,180.0,0,Requires JLCPCB catalogue preview verification
C9,C12891,52.25,65.5,0,0,0.0,0,Requires JLCPCB catalogue preview verification
C10,C1591,53.75,68.5,0,0,90.0,0,Requires JLCPCB catalogue preview verification
C11,C1591,44.0,66.5,0,0,180.0,0,Requires JLCPCB catalogue preview verification
C12,C29936,54.25,72.5,0,0,180.0,0,Requires JLCPCB catalogue preview verification
C13,C1591,51.25,39.25,0,0,0.0,0,Requires JLCPCB catalogue preview verification
C14,C1591,14.25,49.25,0,0,90.0,0,Requires JLCPCB catalogue preview verification
C15,C28323,18.0,90.0,0,0,180.0,0,Requires JLCPCB catalogue preview verification
C16,C1591,20.5,90.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
C17,C14860,17.0,86.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
C18,C1591,20.200000000000003,86.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
C19,C14860,17.0,81.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
C20,C1591,20.299999999999997,79.5,0,0,90.0,0,Requires JLCPCB catalogue preview verification
C21,C19110,29.5,96.2,0,0,-90.0,0,Requires JLCPCB catalogue preview verification
C22,C19110,35.3,90.5,0,0,180.0,0,Requires JLCPCB catalogue preview verification
C23,C19110,25.0,95.9,0,0,-90.0,0,Requires JLCPCB catalogue preview verification
C24,C19110,33.0,87.9,0,0,180.0,0,Requires JLCPCB catalogue preview verification
C25,C1591,26.299999999999997,79.5,0,0,0.0,0,Requires JLCPCB catalogue preview verification
C26,C38523,32.0,94.9,0,0,0.0,0,Requires JLCPCB catalogue preview verification
C27,C1644,32.0,89.9,0,0,0.0,0,Requires JLCPCB catalogue preview verification
C28,C162289,24.0,81.5,0,0,0.0,0,Requires JLCPCB catalogue preview verification
C29,C162289,24.0,77.5,0,0,0.0,0,Requires JLCPCB catalogue preview verification
C30,C527075,31.5,81.6,0,0,-90.0,0,Requires JLCPCB catalogue preview verification
C31,C527075,31.5,77.4,0,0,-90.0,0,Requires JLCPCB catalogue preview verification
C32,C576904,37.0,84.85,0,0,0.0,0,Requires JLCPCB catalogue preview verification
C33,C576904,37.0,74.15,0,0,0.0,0,Requires JLCPCB catalogue preview verification
C36,C527192,40.0,81.6,0,0,-90.0,0,Requires JLCPCB catalogue preview verification
C37,C527192,40.0,77.4,0,0,-90.0,0,Requires JLCPCB catalogue preview verification
C40,C14860,4.5,87.0,0,0,0.0,0,Requires JLCPCB catalogue preview verification
C41,C1653,1.5,75.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
C42,C28323,4.5,66.75,0,0,0.0,0,Requires JLCPCB catalogue preview verification
C43,C1591,30.25,57.25,0,0,0.0,0,Requires JLCPCB catalogue preview verification
C44,C98195,27.25,44.75,0,0,90.0,0,Requires JLCPCB catalogue preview verification
C45,C1591,17.0,49.0,0,0,0.0,0,Requires JLCPCB catalogue preview verification
C46,C51205,18.0,51.75,0,0,0.0,0,Requires JLCPCB catalogue preview verification
C47,C19110,23.0,45.5,0,0,90.0,0,Requires JLCPCB catalogue preview verification
C48,C1591,34.5,58.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
C49,C28323,38.25,41.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
C50,C19110,29.5,44.75,0,0,90.0,0,Requires JLCPCB catalogue preview verification
C51,C1591,16.900000000000006,18.5,0,0,0.0,0,Requires JLCPCB catalogue preview verification
C52,C28323,16.900000000000006,21.5,0,0,0.0,0,Requires JLCPCB catalogue preview verification
C53,C309485,33.7,81.6,0,0,-90.0,0,Requires JLCPCB catalogue preview verification
C54,C309485,33.7,77.4,0,0,-90.0,0,Requires JLCPCB catalogue preview verification
D1,C85098,11.0,40.75,0,0,0.0,0,Requires JLCPCB catalogue preview verification
D2,C85098,18.25,41.25,0,0,0.0,0,Requires JLCPCB catalogue preview verification
D3,C2286,15.5,66.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
D4,C47460,4.5,71.5,0,0,90.0,0,Requires JLCPCB catalogue preview verification
DS1,C506794,30.0,51.150000000000006,0,0,180.0,0,Requires JLCPCB catalogue preview verification
J1,C5184243,3.395000000000003,48.11,0,0,-90.0,0,Requires JLCPCB catalogue preview verification
J2,C160352,6.75,59.099999999999994,0,0,90.0,0,Requires JLCPCB catalogue preview verification
L1,C6980123,25.5,60.5,0,0,180.0,0,Requires JLCPCB catalogue preview verification
L2,C20417049,28.0,84.45,0,0,0.0,0,Requires JLCPCB catalogue preview verification
L3,C20417049,28.0,74.55,0,0,0.0,0,Requires JLCPCB catalogue preview verification
L4,C6127589,4.5,82.0,0,0,180.0,0,Requires JLCPCB catalogue preview verification
Q1,C2593,17.5,54.75,0,0,180.0,0,Requires JLCPCB catalogue preview verification
Q2,C52895,41.5,41.25,0,0,180.0,0,Requires JLCPCB catalogue preview verification
Q3,C2593,4.5,92.0,0,0,0.0,0,Requires JLCPCB catalogue preview verification
Q4,C52895,4.5,96.0,0,0,0.0,0,Requires JLCPCB catalogue preview verification
Q5,C52895,32.75,46.5,0,0,180.0,0,Requires JLCPCB catalogue preview verification
R1,C23186,10.0,51.25,0,0,0.0,0,Requires JLCPCB catalogue preview verification
R2,C23186,10.0,44.75,0,0,0.0,0,Requires JLCPCB catalogue preview verification
R3,C25804,16.5,58.5,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R4,C4190,18.25,58.25,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R5,C25804,14.25,44.75,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R6,C861231,32.5,61.2,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R7,C861429,32.5,64.5,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R8,C25804,55.5,70.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R9,C25804,39.75,58.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R10,C25804,41.5,66.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R11,C25804,39.75,66.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R12,C23345,46.400000000000006,42.5,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R13,C23345,47.900000000000006,42.5,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R14,C22775,57.5,72.5,0,0,0.0,0,Requires JLCPCB catalogue preview verification
R15,C23178,52.5,42.5,0,0,0.0,0,Requires JLCPCB catalogue preview verification
R16,C23178,53.75,40.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R17,C25803,39.75,44.75,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R18,C25803,48.0,39.25,0,0,0.0,0,Requires JLCPCB catalogue preview verification
R19,C4190,25.25,45.25,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R20,C4190,21.0,45.25,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R21,C25804,20.200000000000003,93.2,0,0,180.0,0,Requires JLCPCB catalogue preview verification
R22,C25803,20.0,74.0,0,0,180.0,0,Requires JLCPCB catalogue preview verification
R23,C25803,20.200000000000003,95.2,0,0,180.0,0,Requires JLCPCB catalogue preview verification
R24,C25803,20.200000000000003,97.2,0,0,180.0,0,Requires JLCPCB catalogue preview verification
R25,C17520,28.0,81.5,0,0,0.0,0,Requires JLCPCB catalogue preview verification
R26,C17520,28.0,77.5,0,0,0.0,0,Requires JLCPCB catalogue preview verification
R27,C2079511,42.0,84.85,0,0,0.0,0,Requires JLCPCB catalogue preview verification
R28,C2079511,42.0,74.15,0,0,0.0,0,Requires JLCPCB catalogue preview verification
R29,C21189,20.299999999999997,83.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R30,C2088132,7.75,77.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R31,C728585,7.5,73.5,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R32,C23263,19.25,46.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R33,C25803,7.5,92.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R34,C25803,7.5,96.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R35,C25804,32.75,58.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
R36,C25803,37.25,57.25,0,0,0.0,0,Requires JLCPCB catalogue preview verification
R37,C25804,18.5,10.5,0,0,0.0,0,Requires JLCPCB catalogue preview verification
R40,C25803,33.0,43.75,0,0,0.0,0,Requires JLCPCB catalogue preview verification
R41,C96345,24.0,84.85,0,0,0.0,0,Requires JLCPCB catalogue preview verification
R42,C96345,24.0,74.15,0,0,0.0,0,Requires JLCPCB catalogue preview verification
SW1,C231329,56.5,76.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
SW2,C231329,56.5,81.0,0,0,90.0,0,Requires JLCPCB catalogue preview verification
U1,C32574,13.5,58.5,0,0,180.0,0,Requires JLCPCB catalogue preview verification
U2,C78988,29.5,62.5,0,0,0.0,0,Requires JLCPCB catalogue preview verification
U3,C2934560,47.900000000000006,53.86,0,0,-90.0,0,Requires JLCPCB catalogue preview verification
U4,C7519,11.0,48.0,0,0,0.0,0,Requires JLCPCB catalogue preview verification
U5,C5218924,47.75,65.75,0,0,180.0,0,Requires JLCPCB catalogue preview verification
U6,C3303788,25.9375,90.25,0,0,0.0,0,Requires JLCPCB catalogue preview verification
U7,C460356,4.5,77.0,0,0,0.0,0,Requires JLCPCB catalogue preview verification
U8,C7605,10.149999999999999,11.905000000000001,0,0,0.0,0,Requires JLCPCB catalogue preview verification
U9,C62244,36.75,44.75,0,0,0.0,0,Requires JLCPCB catalogue preview verification
Y1,C3008209,32.0,92.4,0,0,-90.0,0,Requires JLCPCB catalogue preview verification
